rho,phi,dphi
47.6825,3.4421432446,-0.1255318988
47.6838,3.4419862360,-0.1256819548
47.6850,3.4418290397,-0.1258321760
47.6862,3.4416716555,-0.1259825626
47.6875,3.4415140832,-0.1261331147
47.6887,3.4413563226,-0.1262838324
47.6900,3.4411983736,-0.1264347160
47.6912,3.4410402358,-0.1265857655
47.6925,3.4408819091,-0.1267369812
47.6937,3.4407233933,-0.1268883630
47.6950,3.4405646881,-0.1270399113
47.6962,3.4404057934,-0.1271916261
47.6975,3.4402467090,-0.1273435076
47.6987,3.4400874346,-0.1274955560
47.7000,3.4399279700,-0.1276477713
47.7012,3.4397683151,-0.1278001538
47.7025,3.4396084696,-0.1279527035
47.7038,3.4394484332,-0.1281054207
47.7050,3.4392882059,-0.1282583054
47.7062,3.4391277874,-0.1284113579
47.7075,3.4389671775,-0.1285645782
47.7087,3.4388063759,-0.1287179665
47.7100,3.4386453825,-0.1288715231
47.7113,3.4384841970,-0.1290252479
47.7125,3.4383228193,-0.1291791411
47.7137,3.4381612491,-0.1293332030
47.7150,3.4379994862,-0.1294874336
47.7162,3.4378375304,-0.1296418332
47.7175,3.4376753816,-0.1297964018
47.7188,3.4375130394,-0.1299511395
47.7200,3.4373505036,-0.1301060466
47.7212,3.4371877742,-0.1302611232
47.7225,3.4370248508,-0.1304163695
47.7237,3.4368617332,-0.1305717855
47.7250,3.4366984212,-0.1307273715
47.7262,3.4365349147,-0.1308831275
47.7275,3.4363712133,-0.1310390538
47.7287,3.4362073170,-0.1311951504
47.7300,3.4360432254,-0.1313514176
47.7313,3.4358789384,-0.1315078554
47.7325,3.4357144557,-0.1316644640
47.7337,3.4355497771,-0.1318212437
47.7350,3.4353849025,-0.1319781944
47.7362,3.4352198316,-0.1321353164
47.7375,3.4350545641,-0.1322926098
47.7388,3.4348891000,-0.1324500748
47.7400,3.4347234389,-0.1326077115
47.7412,3.4345575806,-0.1327655200
47.7425,3.4343915250,-0.1329235005
47.7437,3.4342252718,-0.1330816532
47.7450,3.4340588208,-0.1332399782
47.7463,3.4338921718,-0.1333984757
47.7475,3.4337253245,-0.1335571457
47.7487,3.4335582789,-0.1337159885
47.7500,3.4333910345,-0.1338750041
47.7512,3.4332235913,-0.1340341928
47.7525,3.4330559489,-0.1341935547
47.7537,3.4328881073,-0.1343530900
47.7550,3.4327200661,-0.1345127987
47.7562,3.4325518252,-0.1346726811
47.7575,3.4323833844,-0.1348327372
47.7587,3.4322147433,-0.1349929673
47.7600,3.4320459019,-0.1351533714
47.7612,3.4318768598,-0.1353139498
47.7625,3.4317076169,-0.1354747025
47.7637,3.4315381730,-0.1356356298
47.7650,3.4313685278,-0.1357967318
47.7663,3.4311986811,-0.1359580085
47.7675,3.4310286327,-0.1361194603
47.7687,3.4308583824,-0.1362810872
47.7700,3.4306879299,-0.1364428893
47.7712,3.4305172751,-0.1366048668
47.7725,3.4303464177,-0.1367670200
47.7738,3.4301753575,-0.1369293488
47.7750,3.4300040942,-0.1370918535
47.7762,3.4298326277,-0.1372545342
47.7775,3.4296609578,-0.1374173910
47.7787,3.4294890842,-0.1375804242
